Group;Case;Signbased.all;Signbased.all.gap;Signbased.log;Signbased.log.gap;Signbased.vis;Signbased.vis.gap;Superlogical;Superlogical.gap;withoutSB.all;withoutSB.all.gap;withoutSB.log;withoutSB.log.gap;withoutSB.vis;withoutSB.vis.gap
1;1;-25,89923396;-40,26116884;-31,30564748;-52,12497978;-69,30529639;-83,70138295;-34,42715332;-50,27573891;-27,31218718;-40,05032008;-32,59945063;-52,065728;-64,24313061;-75,44039842
1;2;-6,913202706;-19,82555377;-5,741194096;-28,62858401;-4,47706774;-45,12206791;-11,24291601;-24,38473398;-8,934426014;-18,92970194;-6,356224127;-28,06376447;-5,05978029;-42,07832889
1;3;-9,19592215;-22,69838706;-5,939873237;-32,89821056;-5,64230611;-38,42773503;-11,35342328;-29,26298195;-11,84564739;-22,65373138;-6,337791991;-32,04788905;-8,004991436;-38,54453316
1;4;-13,081518;-17,99163182;-14,682369;-28,09717153;-37,28807891;-48,11160706;-14,46594215;-26,13084013;-12,52793314;-17,23554169;-14,66150248;-27,90557009;-29,25012322;-40,09151437
1;5;-13,92185403;-19,57962954;-15,76316227;-28,4330795;-41,39391112;-53,47637546;-15,5419743;-24,44674763;-13,83920073;-20,14069353;-15,79348731;-29,50896604;-35,72691483;-47,58003434
1;6;-14,77989787;-22,05500464;-16,67159883;-32,08784997;-44,760438;-57,11464392;-17,387254;-27,22958;-14,99320399;-21,91980302;-17,26763029;-32,12734472;-37,64711072;-52,78182813
1;7;-20,34276353;-35,14422445;-25,6325542;-45,2866883;-58,52508535;-72,1644017;-31,34918991;-44,082281;-22,82603333;-34,30883092;-28,03246537;-44,27908988;-56,59282925;-63,58519374
1;8;-23,22558937;-35,94114837;-27,03882888;-51,09918944;-61,23572109;-77,99636979;-29,45797746;-47,87288799;-24,65640044;-35,34285865;-29,72077234;-49,37803421;-57,61340171;-70,09812079
1;9;-23,80464819;-36,36521053;-28,57393672;-48,61696605;-69,5568739;-84,29063209;-31,20550429;-44,79389684;-23,07884566;-36,14473214;-28,08907453;-46,88709691;-63,64484711;-77,77542882
1;10;-21,01221287;-26,20636127;-22,78548662;-40,43895103;-34,98735855;-42,5596298;-24,0362679;-36,69322798;-21,0143923;-26,20750443;-23,29353766;-39,31202887;-32,35589363;-40,29957542
2;11;-23,1290543;-29,63390105;-25,15176454;-45,37756352;-48,27619132;-61,70420268;-24,42549267;-40,52776289;-22,22196076;-28,59372204;-24,21453298;-45,79429516;-40,2318935;-58,78587255
2;12;-27,73997071;-34,49267151;-32,99780796;-52,07179766;-46,99279743;-56,91760653;-34,16026873;-46,66788653;-28,57413197;-35,20792061;-35,16374693;-52,91170202;-41,56339672;-54,86315961
2;13;-14,07356921;-21,99349828;-16,33616468;-32,42903531;-32,44492282;-48,39170351;-16,83564607;-29,78790628;-13,32093427;-21,7659558;-15,86695067;-32,2235975;-29,22070053;-44,81824989
2;14;-13,33959561;-18,69182872;-17,6889727;-31,70545578;-27,3008377;-35,29018718;-19,64650236;-28,72986433;-13,06825706;-17,82788181;-18,00913204;-29,81670258;-26,34154404;-34,68468373
2;15;-11,21583093;-18,13448993;-13,61988214;-26,03203678;-32,96007812;-45,17028011;-15,63406209;-25,63808312;-12,37062509;-19,32021361;-14,76926866;-26,46428978;-30,72381869;-44,22246702
2;16;-12,89964497;-20,29711892;-16,1237772;-32,72088754;-32,86030435;-42,83452025;-18,83671276;-30,27854175;-14,09113131;-22,10599614;-17,65952054;-32,26738042;-32,25562222;-40,57947554
2;17;-11,87858144;-18,30657786;-13,96444173;-28,67441856;-31,14834067;-44,82759433;-14,32574296;-25,23390371;-12,53838034;-18,68467315;-14,59435231;-28,87955128;-28,32426388;-43,44468481
2;18;-22,97534079;-30,42296471;-25,20666037;-45,38681758;-44,93916179;-56,51799269;-26,01880428;-40,47958929;-25,19476429;-29,08344467;-27,76000691;-45,82549491;-42,54524892;-52,24832015
2;19;-23,00269368;-28,28078255;-25,84784917;-49,2725305;-48,23602762;-57,41535296;-26,54614801;-45,28633751;-23,8878687;-28,40560237;-26,03291241;-47,2767374;-48,04719649;-55,76284095
2;20;-16,38110586;-24,27141917;-21,72709387;-36,6711128;-34,54070926;-46,56090221;-23,28677882;-35,11410586;-18,61614981;-25,7106345;-23,6366153;-36,56134281;-34,27467074;-47,26756587
3;21;-16,18792366;-22,61118911;-19,48532119;-37,87520094;-32,16241591;-43,73373611;-26,02755893;-40,65672562;-20,35177828;-25,08143048;-23,47465499;-40,441129;-35,77583852;-46,34283267
3;22;-16,074043;-21,79195037;-18,12686861;-31,55292679;-34,51606654;-43,19776136;-22,47521238;-33,93323;-19,3884183;-23,14462608;-21,74723269;-37,13577757;-38,37113395;-42,72336726
3;23;-19,06010387;-26,87798898;-24,73964119;-40,88240688;-30,6618821;-43,28610405;-33,46312825;-42,50586334;-25,336295;-29,57543914;-31,14295976;-45,15836967;-37,02409242;-45,24653537
3;24;-14,77741058;-17,64103201;-16,49767748;-26,88668201;-29,71138587;-33,45554712;-18,97023088;-25,70339262;-17,73441878;-19,77999787;-19,88297206;-28,98833329;-30,89036375;-33,90417476
3;25;-8,847555003;-11,77113502;-11,63842239;-15,45525399;-13,57106376;-20,71830692;-14,27119627;-14,84157903;-12,41318686;-14,00795987;-15,20436815;-16,92060776;-16,97737742;-22,89386071
3;26;-7,75240925;-17,47211446;-11,45315848;-23,16990804;-25,55986912;-39,08314078;-20,50879629;-25,07290114;-11,3032368;-20,9100226;-16,13105223;-26,34770436;-26,03636546;-37,37900529
3;27;-6,026355269;-12,28808289;-8,917563813;-17,78090238;-16,69222462;-27,05388931;-15,70534356;-19,40493646;-8,8619025;-14,37218158;-12,05640175;-19,38705461;-17,85561843;-28,36890169
3;28;-8,031177118;-11,39394442;-10,34416783;-17,26070059;-14,61346359;-20,3634675;-12,94386765;-16,78941854;-10,61887065;-12,90849062;-13,35075551;-19,07014424;-16,78838991;-20,31753378
3;29;-4,997795793;-11,54660387;-7,304492438;-17,27958716;-14,46567451;-23,23229044;-13,89467235;-19,08507865;-7,763469828;-13,02252272;-10,2839658;-18,49616078;-18,89773894;-24,51849272
3;30;-1,104396016;-10,7090979;-0,67823702;-15,26933314;-0,019965967;-15,54697374;-5,640482643;-14,0031596;-3,129480025;-12,1971531;-2,22515415;-16,53576859;-2,00016266;-17,59531681
4;31;-0,015504295;-12,08747179;-3,136702675;-17,93762907;6,514299628;-17,56287092;0,159853829;-17,96033606;0,94730806;-12,60660388;-1,572321088;-19,20468458;8,650589222;-17,81009589
4;32;-9,455438994;-11,60543086;-10,06246653;-9,328310411;0,896632093;-12,16471814;-11,21361086;-9,544589611;-12,78877236;-13,25723962;-13,34724244;-10,23790446;0,322076612;-12,5314602
4;33;-10,5590529;-11,78021594;-10,80216444;-12,48480738;-3,033611953;-15,5234764;-9,869777182;-11,57877853;-12,30190542;-13,34998659;-12,80672188;-13,66761978;-3,270081946;-15,92372477
4;34;-12,03656956;-14,73126949;-12,76263782;-15,79065991;-12,03187691;-16,26491457;-18,62092656;-15,22736243;-14,18270217;-16,07807068;-15,50305233;-17,04029169;-10,91535432;-16,96561395
4;35;-8,998483301;-11,02337904;-9,810895754;-14,2221579;-9,058888955;-14,27440887;-10,91023911;-14,534925;-10,09130438;-11,52103282;-10,63221285;-14,98346473;-10,56440453;-15,32863787
4;36;-2,088339979;-9,542590029;-1,589356238;-10,7604222;-1,431439182;-15,67406586;-2,540666401;-7,821632205;-2,303762305;-11,04904062;-1,556098921;-11,04341636;-0,697138819;-16,49341798
4;37;-11,13054152;-11,16876723;-11,55199455;-14,00494128;-15,44548473;-14,00166895;-11,0890786;-13,00711729;-11,12116183;-11,85632367;-11,59022059;-15,09486153;-11,60504943;-14,04076238
4;38;-8,473953655;-9,882551082;-8,98902607;-11,45813372;-12,85547987;-11,28679778;-9,94831067;-10,7980352;-9,701373202;-11,17910269;-10,24460442;-12,94464101;-9,283829262;-11,55598533
4;39;-11,70132411;-12,70496953;-12,33049253;-12,77450671;-20,11881103;-18,85682777;-12,52169859;-12,68882841;-12,36754199;-13,22648695;-13,21604183;-13,85440053;-13,86089589;-18,73642084
4;40;-9,633003659;-11,14365862;-9,904195023;-11,54862453;-15,11394819;-12,6698552;-8,702649486;-10,03981407;-0,445003024;-10,67326291;-4,798684228;-16,67489621;6,997895972;-15,51507716
6;41;-12,67582404;-6,197787624;-12,03617425;6,004747592;-14,82064941;-6,912485928;-7,421868108;6,773426924;-12,83033014;-8,602706278;-11,85536541;4,115435166;-10,63209597;-7,200966576
6;42;-6,504227443;-3,801190597;-7,563183223;4,026338737;-1,042649779;-1,931971621;-4,338800465;4,110101895;-6,679042849;-4,669667163;-7,616113068;3,360315025;-0,178687755;-2,208405045
6;43;-6,762994686;-4,056591602;-5,964222313;2,672127292;-4,252827973;-2,822162404;-2,636780398;3,462786221;-6,876427952;-4,107052729;-5,673582399;2,899700837;-0,050648541;-2,654627948
6;44;-4,649045868;-1,528661674;-3,884342713;2,29730659;-4,493228913;-2,005392594;-0,869106338;3,216385242;-4,632799516;-1,606483866;-3,544088392;1,617235979;-2,11344247;-2,11720205
6;45;-3,977775225;-4,284480887;-5,536186661;-0,212223254;12,69170009;1,308505875;-4,771373358;1,385909654;-4,704142241;-4,558347181;-5,981490992;-0,740167767;15,25615365;1,42705016
6;46;-12,10866879;-11,55714572;-13,28437661;-3,858955477;4,455822803;-1,810544678;-12,86578234;-1,790134473;-12,26677567;-12,24766457;-13,34342453;-3,927193021;6,538625286;-1,750181386
6;47;-4,611000692;-3,532079259;-4,258804194;1,603848958;4,149981296;1,394161686;-2,493815876;4,392048888;-2,985053377;-3,574797784;-3,04707455;2,914884777;19,7099009;3,677049014
6;48;-0,418606271;-1,696655266;0,577145229;0,82977536;1,382581639;1,049043298;-0,378488292;2,168947233;-1,275890112;-1,691103279;0,35963083;0,821733454;1,709932545;1,157232832
6;49;-1,035457298;-5,788858164;-0,553833838;-1,51029992;0,511219734;-0,301773811;-0,529648663;0,626037781;-1,737298115;-6,242662391;-0,807386577;-1,097738767;0,216961725;-0,962063544
6;50;-4,625532673;-4,885382448;-7,143885219;-2,140225086;-0,50341173;-0,361311121;-6,118167685;-1,081787091;-3,726731645;-3,837051614;-5,744341617;-1,632048083;1,05205398;-0,503928882
5;51;12,04272831;-9,144027512;4,040497296;-16,58771166;27,43453477;-16,04336916;14,34905465;-14,74612495;13,08338159;-9,699229985;6,592100965;-17,67129768;31,02873621;-15,6092259
5;52;-1,397222994;-9,429159685;-3,238141254;-15,97348327;3,406210024;-16,57914901;-2,143893067;-15,40487232;0,410486008;-10,97262606;-3,730016623;-17,22462716;8,499130276;-15,88130377
5;53;-2,81671388;-9,781008178;-3,350323857;-13,17624617;2,163099187;-14,15247796;-0,214112348;-11,86320211;-1,919507622;-11,26852653;-3,29224515;-14,28985001;4,325085031;-15,22780172
5;54;-1,130748939;-5,41948505;-0,780363812;-7,09759335;-0,332892059;-9,491533647;1,420629172;-7,24346253;-1,434244856;-5,376644384;-0,944964411;-7,393022991;0,049188008;-9,782095517
5;55;-5,370674879;-4,968230151;-4,496927132;-4,682913829;-9,005766341;-5,070339227;-3,251802693;-4,227014865;-5,526834869;-4,882466418;-4,925236689;-4,72586814;-8,071440204;-5,687209315
5;56;-4,111102023;-4,339467252;-4,109823095;-3,24377359;1,217864168;-2,013902182;-3,468941072;-3,126862775;-4,084465779;-4,226391045;-4,210997164;-3,124525756;0,820228644;-1,956133937
5;57;-0,440067879;-6,153665383;0,917284138;-3,498378904;2,805430454;-1,166036178;-0,536980745;-2,137241808;-0,54227477;-5,7493437;0,710533834;-3,638218463;2,259751106;-1,225959139
5;58;-5,637395932;-5,541570446;-6,650319147;-4,693381683;-9,168225825;-2,723313773;-6,221636284;-4,568282061;-3,924141036;-4,688034655;-5,692493643;-4,729820691;-4,93767246;-1,027653661
5;59;-3,814324931;-4,801692127;-4,58952283;-3,84846672;-5,158695898;-2,439195145;-5,403185992;-3,565592163;-3,16692503;-4,16459956;-4,602454111;-4,024512624;-3,418503823;-1,750386308
5;60;-5,858259825;-4,363877385;-6,853242612;-3,239412644;-17,96564317;-5,252377305;-4,607533932;-2,79567901;-4,281205874;-3,71147946;-6,110378572;-3,39727432;-10,90265095;-3,625424779
7;61;-3,119462404;-6,906855568;-3,995457908;1,24803974;29,08196605;0,944463379;0,408179761;2,688402321;-3,043645288;-7,037696883;-3,156603444;0,833362082;36,37037038;1,523995123
7;62;1,205831315;-2,669090756;-1,189349065;1,234159867;21,57900275;3,211402858;-0,344024177;1,128398794;2,469710705;-2,146966786;0,811444133;0,978776891;32,95833276;3,54252313
7;63;-5,126842156;-8,721301873;-4,18136919;-0,604647786;26,60122672;0,525144547;-2,145343014;1,344204288;-4,587170808;-8,848111859;-4,371407281;-0,38605476;31,74168356;0,686685698
7;64;-1,279569362;-5,004838315;-0,840961471;-1,03058354;0,215102528;-0,514612561;-1,174324285;-0,810247412;-1,564548669;-5,484676535;-0,873027474;-1,176569898;-0,079599657;-0,381067845
7;65;-2,984424669;-0,241455225;-3,920715774;0,882379085;-8,908018119;-3,101188042;-3,54645552;0,383599514;-3,18977255;-0,678050282;-3,842614761;0,8830366;-8,641724351;-2,410038856
7;66;-7,0956648;-4,613638635;-9,451656732;-1,260087786;-8,943407251;-2,198696589;-7,604631659;-2,204457434;-5,345248055;-4,038908356;-8,264276817;-1,040937273;-3,606016615;-0,754574259
7;67;-5,785769409;-1,904203908;-6,222010019;-0,100257854;-16,70313483;-5,321852647;-3,628713901;-0,769488315;-6,276558541;-2,311146315;-6,454253862;-0,168852142;-19,50202118;-5,56883439
7;68;-10,64400381;-8,041497211;-11,26351376;-1,461577569;-14,07720156;-4,211368997;-9,493315342;-2,555257531;-11,39723445;-8,372595503;-11,52810243;-1,560995794;-13,40712481;-4,123013796
7;69;-4,351370277;-3,143274279;-5,402818433;-0,157415677;-8,345026307;-2,652456971;-5,311597313;-1,346021129;-4,234525767;-3,081046418;-5,291418863;-0,225917321;-7,052184469;-2,15683127
7;70;-6,683181703;-5,375221226;-7,36536652;-0,111761708;-7,843290204;-0,733393376;-6,609175138;-0,703765062;-7,199871256;-5,711261475;-7,56987833;-0,116051768;-7,236674122;-0,453138173
